# Average retail price of residential electricity, 2006
# (Cents per kilowatt hour; ranked by all-sector average)
# Source: Energy Information Administration
# as reported by http://www.ppinys.org/reports/jtf/electricprices.html
# Just the Facts - Key Economic and Social Indicators for New York State 
# The Public Policy Institute of New York State, Inc., a research and educational organization. 
# 152 Washington Avenue, Albany, NY 12210 
# 518-465-7511 www.ppinys.org
us,ak,14.83
us,al,8.78
us,ar,8.72
us,az,9.46
us,ca,14.32
us,co,9.14
us,ct,16.66
us,de,11.41
us,fl,11.28
us,ga,9.17
us,hi,23.57
us,ia,9.75
us,id,6.21
us,il,8.66
us,in,8.27
us,ks,8.37
us,ky,7.12
us,la,9.28
us,ma,17.11
us,md,9.74
us,me,14.55
us,mi,10.05
us,mi,17.11
us,mn,8.72
us,mo,7.62
us,ms,9.56
us,mt,8.3
us,nc,9.11
us,nd,7.26
us,ne,7.57
us,nh,14.85
us,nj,12.96
us,nm,9.15
us,nv,11.02
us,ny,16.86
us,oh,9.53
us,ok,8.69
us,or,7.46
us,pa,10.46
us,ri,15.25
us,sc,9.04
us,sd,7.97
us,tn,7.74
us,tx,12.83
us,ut,7.69
us,va,8.54
us,vt,13.55
us,wa,6.75
us,wi,10.46
us,wv,6.33
us,wy,7.8
